dataset,train_steps,n_simulations,score_mean,score_type
german,600,10,"[1.69654216e-05 9.39829584e-07 1.37489006e-06 3.58221160e-08
 6.97684436e-07 2.72455726e-08 4.47512643e-08]",r2
german,600,11,"[5.66104719e-06 2.01072117e-07 8.72157570e-06 1.16009418e-06
 2.26676919e-07 8.10768443e-09 1.56523509e-08]",r2
german,600,12,"[3.78143915e-06 1.00811883e-06 5.59271103e-07 3.12868480e-07
 4.76481250e-08 1.80740011e-10 8.29301681e-10]",r2
german,600,13,"[2.51020255e-06 1.24761830e-06 1.52218790e-06 6.95464905e-07
 4.02356785e-08 2.09813869e-10 5.53047373e-10]",r2
german,600,14,"[2.76304103e-05 6.50103486e-07 1.57312655e-06 6.09044438e-08
 2.02276334e-07 6.19062553e-09 8.34191907e-09]",r2
german,600,15,"[2.79681774e-05 5.88145954e-07 3.43849804e-07 1.31535647e-07
 2.19589889e-07 6.16703045e-09 6.69147533e-09]",r2
german,600,16,"[2.70662593e-05 6.55873497e-07 5.91208626e-07 3.90440609e-08
 2.02194153e-07 4.95451963e-09 9.08848640e-09]",r2
german,600,17,"[1.93696616e-05 5.25531299e-07 2.11676587e-06 5.54957146e-07
 1.48655314e-07 6.70678852e-09 1.39106342e-08]",r2
german,600,18,"[2.52479743e-05 5.49575035e-07 2.76817009e-06 4.49282026e-07
 9.47782220e-08 5.46275763e-09 8.30415105e-09]",r2
german,600,19,"[4.15143243e-05 6.87322016e-07 2.45883787e-06 1.14532586e-06
 1.50384772e-07 4.96827704e-09 1.43175557e-08]",r2
german,600,20,"[1.93206771e-05 6.96089523e-07 5.85859180e-07 1.98829859e-07
 4.45073056e-08 1.14284437e-09 1.85571058e-09]",r2
german,700,1,"[2.91967448e-04 8.03670708e-05 5.48198261e-04 4.59575009e-05
 2.37297941e-06 3.43935787e-08 3.34904505e-08]",r2
german,700,2,"[9.96337234e-05 3.44354385e-06 2.76371205e-04 4.63773766e-05
 2.17126538e-07 4.18164103e-08 1.28160741e-07]",r2
german,700,3,"[3.76189199e-06 3.73015341e-06 3.68980971e-05 1.11715577e-06
 7.73900706e-07 6.79552446e-08 9.39498180e-08]",r2
german,700,4,"[1.68148270e-05 3.12877167e-06 1.12711464e-05 1.24238192e-06
 1.04247957e-06 4.11956864e-08 8.12253224e-08]",r2
german,700,5,"[7.90714374e-05 1.10549412e-05 6.28052472e-07 1.04954507e-07
 2.29062293e-06 1.35242979e-07 2.21626957e-07]",r2
german,700,6,"[1.04324117e-04 1.81541673e-05 2.13362524e-06 1.30431072e-07
 3.19583434e-06 1.63187605e-07 2.67053892e-07]",r2
german,700,7,"[6.75744543e-05 7.37333612e-06 5.02184341e-06 1.76193087e-07
 2.30901759e-06 1.23460846e-07 2.09150051e-07]",r2
german,700,8,"[4.82156669e-05 4.27858630e-06 4.19067964e-06 4.77435832e-07
 1.23755092e-06 4.04613666e-08 7.17512165e-08]",r2
german,700,9,"[1.67177714e-05 6.48408328e-07 6.50239881e-06 3.41839324e-07
 3.88481582e-07 1.10475873e-08 1.97717510e-08]",r2
german,700,10,"[2.05305292e-05 4.41413930e-07 1.25883759e-06 1.24705955e-07
 2.09694029e-07 1.84743334e-09 5.41540396e-09]",r2
german,700,11,"[1.63202069e-05 7.15874169e-07 2.70276108e-06 8.06925606e-07
 1.55271754e-07 1.94882529e-09 1.47237477e-09]",r2
german,700,12,"[4.11345430e-05 9.31643799e-07 4.04997118e-06 2.58962183e-07
 2.40845307e-07 7.88390482e-09 1.25741176e-08]",r2
german,700,13,"[3.97734589e-05 9.63060118e-07 5.10045019e-06 1.74798950e-07
 2.31516432e-07 7.44154152e-09 1.05109585e-08]",r2
german,700,14,"[4.09934832e-05 9.78491124e-07 1.33341011e-06 1.61732788e-07
 2.16382118e-07 4.23884388e-09 9.81819153e-09]",r2
german,700,15,"[3.89130657e-05 1.04743037e-06 3.46593058e-06 3.66529282e-07
 1.96380464e-07 6.31089408e-09 1.26846554e-08]",r2
german,700,16,"[3.44021356e-05 7.09441764e-07 2.19629865e-06 2.81921932e-07
 1.25392697e-07 3.96983747e-09 7.87553152e-09]",r2
