dataset,train_steps,n_simulations,forecast_prediction_steps,model,score,score_type,repetition
inverted,100,1,10,LSTM,0.53134507,mae,2
inverted,100,1,1,TiDE,0.2170925,mae,2
inverted,100,1,10,TiDE,1.4308125,mae,2
inverted,100,1,1,Oracle,0.04193037,mae,2
inverted,100,1,10,Oracle,0.39900282,mae,2
inverted,100,1,1,TSMixer,0.21659067,mae,3
inverted,100,1,10,TSMixer,1.4302456,mae,3
inverted,100,1,1,VAR,0.042951006,mae,3
inverted,100,1,10,VAR,0.411539,mae,3
inverted,100,1,1,LSTM,0.055372883,mae,3
inverted,100,1,10,LSTM,0.48590064,mae,3
inverted,100,1,1,TiDE,0.2179111,mae,3
inverted,100,1,10,TiDE,1.434633,mae,3
inverted,100,1,1,Oracle,0.04193037,mae,3
inverted,100,1,10,Oracle,0.39900282,mae,3
inverted,100,1,1,TSMixer,0.21666802,mae,4
inverted,100,1,10,TSMixer,1.4306552,mae,4
inverted,100,1,1,VAR,0.041948937,mae,4
inverted,100,1,10,VAR,0.40747273,mae,4
inverted,100,1,1,LSTM,0.045858596,mae,4
inverted,100,1,10,LSTM,0.4563857,mae,4
inverted,100,1,1,TiDE,0.2184596,mae,4
inverted,100,1,10,TiDE,1.4369404,mae,4
inverted,100,1,1,Oracle,0.04193037,mae,4
inverted,100,1,10,Oracle,0.39900282,mae,4
inverted,100,1,1,TSMixer,0.21660128,mae,5
inverted,100,1,10,TSMixer,1.4302174,mae,5
inverted,100,1,1,VAR,0.043067325,mae,5
inverted,100,1,10,VAR,0.41155344,mae,5
inverted,100,1,1,LSTM,0.045688886,mae,5
inverted,100,1,10,LSTM,0.43377376,mae,5
inverted,100,1,1,TiDE,0.21806523,mae,5
inverted,100,1,10,TiDE,1.4355013,mae,5
inverted,100,1,1,Oracle,0.04193037,mae,5
inverted,100,1,10,Oracle,0.39900282,mae,5
inverted,100,1,1,TSMixer,0.21650243,mae,6
inverted,100,1,10,TSMixer,1.4295481,mae,6
inverted,100,1,1,VAR,0.04396482,mae,6
inverted,100,1,10,VAR,0.45096448,mae,6
inverted,100,1,1,LSTM,0.05124416,mae,6
inverted,100,1,10,LSTM,0.5145648,mae,6
inverted,100,1,1,TiDE,0.21762848,mae,6
inverted,100,1,10,TiDE,1.4335393,mae,6
inverted,100,1,1,Oracle,0.04193037,mae,6
inverted,100,1,10,Oracle,0.39900282,mae,6
inverted,100,1,1,TSMixer,0.21659052,mae,7
inverted,100,1,10,TSMixer,1.4302692,mae,7
inverted,100,1,1,VAR,0.042290486,mae,7
inverted,100,1,10,VAR,0.4314618,mae,7
inverted,100,1,1,LSTM,0.061840426,mae,7
inverted,100,1,10,LSTM,0.5357132,mae,7
inverted,100,1,1,TiDE,0.21824288,mae,7
inverted,100,1,10,TiDE,1.435338,mae,7
inverted,100,1,1,Oracle,0.04193037,mae,7
inverted,100,1,10,Oracle,0.39900282,mae,7
inverted,100,1,1,TSMixer,0.21658131,mae,8
inverted,100,1,10,TSMixer,1.4301814,mae,8
inverted,100,1,1,VAR,0.042094864,mae,8
inverted,100,1,10,VAR,0.39975718,mae,8
inverted,100,1,1,LSTM,0.046775393,mae,8
inverted,100,1,10,LSTM,0.47372842,mae,8
inverted,100,1,1,TiDE,0.21820915,mae,8
inverted,100,1,10,TiDE,1.4358044,mae,8
inverted,100,1,1,Oracle,0.04193037,mae,8
inverted,100,1,10,Oracle,0.39900282,mae,8
inverted,100,1,1,TSMixer,0.21662816,mae,9
inverted,100,1,10,TSMixer,1.4304688,mae,9
inverted,100,1,1,VAR,0.042617813,mae,9
inverted,100,1,10,VAR,0.4068301,mae,9
inverted,100,1,1,LSTM,0.04816058,mae,9
inverted,100,1,10,LSTM,0.46685463,mae,9
inverted,100,1,1,TiDE,0.21784078,mae,9
inverted,100,1,10,TiDE,1.4353056,mae,9
inverted,100,1,1,Oracle,0.04193037,mae,9
inverted,100,1,10,Oracle,0.39900282,mae,9
inverted,500,1,1,TSMixer,0.21679918,mae,0
inverted,500,1,10,TSMixer,1.4308003,mae,0
inverted,500,1,1,VAR,0.04185901,mae,0
inverted,500,1,10,VAR,0.39996353,mae,0
inverted,500,1,1,LSTM,0.044793833,mae,0
inverted,500,1,10,LSTM,0.42324707,mae,0
inverted,500,1,1,TiDE,0.21756712,mae,0
inverted,500,1,10,TiDE,1.4333473,mae,0
inverted,500,1,1,Oracle,0.04193037,mae,0
inverted,500,1,10,Oracle,0.39900282,mae,0
inverted,500,1,1,TSMixer,0.2169568,mae,1
inverted,500,1,10,TSMixer,1.4317553,mae,1
inverted,500,1,1,VAR,0.042182665,mae,1
inverted,500,1,10,VAR,0.4001767,mae,1
inverted,500,1,1,LSTM,0.042969774,mae,1
inverted,500,1,10,LSTM,0.39980876,mae,1
inverted,500,1,1,TiDE,0.21790293,mae,1
inverted,500,1,10,TiDE,1.434538,mae,1
inverted,500,1,1,Oracle,0.04193037,mae,1
inverted,500,1,10,Oracle,0.39900282,mae,1
inverted,500,1,1,TSMixer,0.2165953,mae,2
inverted,500,1,10,TSMixer,1.429569,mae,2
inverted,500,1,1,VAR,0.04198722,mae,2
inverted,500,1,10,VAR,0.40416145,mae,2
inverted,500,1,1,LSTM,0.042810153,mae,2
inverted,500,1,10,LSTM,0.40253982,mae,2
inverted,500,1,1,TiDE,0.2172331,mae,2
inverted,500,1,10,TiDE,1.4315474,mae,2
inverted,500,1,1,Oracle,0.04193037,mae,2
inverted,500,1,10,Oracle,0.39900282,mae,2
inverted,500,1,1,TSMixer,0.21698056,mae,3
inverted,500,1,10,TSMixer,1.4319464,mae,3
inverted,500,1,1,VAR,0.04186257,mae,3
inverted,500,1,10,VAR,0.39956743,mae,3
inverted,500,1,1,LSTM,0.042677227,mae,3
inverted,500,1,10,LSTM,0.45463058,mae,3
inverted,500,1,1,TiDE,0.21810608,mae,3
inverted,500,1,10,TiDE,1.4351898,mae,3
inverted,500,1,1,Oracle,0.04193037,mae,3
inverted,500,1,10,Oracle,0.39900282,mae,3
inverted,500,1,1,TSMixer,0.21639585,mae,4
inverted,500,1,10,TSMixer,1.4289347,mae,4
inverted,500,1,1,VAR,0.04193882,mae,4
inverted,500,1,10,VAR,0.3985466,mae,4
inverted,500,1,1,LSTM,0.043999065,mae,4
inverted,500,1,10,LSTM,0.40646353,mae,4
inverted,500,1,1,TiDE,0.21650961,mae,4
inverted,500,1,10,TiDE,1.4282343,mae,4
inverted,500,1,1,Oracle,0.04193037,mae,4
inverted,500,1,10,Oracle,0.39900282,mae,4
inverted,500,1,1,TSMixer,0.21656622,mae,5
inverted,500,1,10,TSMixer,1.4300386,mae,5
inverted,500,1,1,VAR,0.041965283,mae,5
inverted,500,1,10,VAR,0.4047949,mae,5
inverted,500,1,1,LSTM,0.042977408,mae,5
inverted,500,1,10,LSTM,0.42319348,mae,5
inverted,500,1,1,TiDE,0.21691442,mae,5
inverted,500,1,10,TiDE,1.4310863,mae,5
inverted,500,1,1,Oracle,0.04193037,mae,5
inverted,500,1,10,Oracle,0.39900282,mae,5
inverted,500,1,1,TSMixer,0.21656677,mae,6
inverted,500,1,10,TSMixer,1.4299302,mae,6
inverted,500,1,1,VAR,0.04201242,mae,6
inverted,500,1,10,VAR,0.40201813,mae,6
inverted,500,1,1,LSTM,0.042887874,mae,6
inverted,500,1,10,LSTM,0.40478468,mae,6
inverted,500,1,1,TiDE,0.21762858,mae,6
inverted,500,1,10,TiDE,1.4333158,mae,6
inverted,500,1,1,Oracle,0.04193037,mae,6
inverted,500,1,10,Oracle,0.39900282,mae,6
inverted,500,1,1,TSMixer,0.21700618,mae,7
inverted,500,1,10,TSMixer,1.4320834,mae,7
inverted,500,1,1,VAR,0.04218783,mae,7
inverted,500,1,10,VAR,0.3985892,mae,7
inverted,500,1,1,LSTM,0.044029042,mae,7
inverted,500,1,10,LSTM,0.39962223,mae,7
